"id","name","latitude","longitude","country"
"37009","Aareschlucht West","46.721253","8.198578","CH"
"17513","Aarhus","56.150075","10.204995","DK"
"29653","Aars","56.804489","9.510164","DK"
"17754","Aarschot","50.984137","4.823755","BE"
"18134","Aarsele","50.984541","3.418112","BE"
"37256","Aarwangen","47.240507","7.769591","CH"
"36426","Aarwangen Schloss","47.245183","7.76361","CH"
"36176","Aarwangen Vorstadt","47.237497","7.771302","CH"
"37142","Aathal","47.335957","8.76561","CH"
"29679","Abades","40.915479","-4.267905","ES"
"27449","Ábalos","42.57154","-2.70956","ES"
"65","Abancourt","49.685224","1.774306","FR"
"21204","Abano","45.3553","11.8115","IT"
"27000","Abarán","38.208324","-1.393915","ES"
"74547","Abaroa - San Miguel","43.236846","-2.889762","ES"
"21090","Abas/Ales","39.770020","8.813095","IT"
"21205","Abbadia Lariana","45.8958","9.33511","IT"
"22637","Abbaretz","47.554643","-1.524416","FR"
"19382","Abbasanta","40.126767","8.816053","IT"
"62336","Abbekås","55.39389","13.59333","SE"
"17442","Abbémont","49.616695","2.508080","FR"
"5742","Abbeville","50.10221","1.82449","FR"
"24587","Abbey Wood","51.490719","0.120343","GB"
"35912","Abbeyfeale","52.471678","-9.020451","IE"
"22131","Abbiate Guazzone","45.701968","8.918710","IT"
"21206","Abbiategrasso","45.3976","8.92041","IT"
"61126","Abborrträsk","65.44889","19.38639","SE"
"66831","Abborrträsk väg 95","65.44583","19.37444","SE"
"18866","Abcoude","52.278673","4.976994","NL"
"68067","Abda","47.690426","17.541118","HU"
"29681","Abegondo","43.20847","-8.31778","ES"
"23642","Abejera","41.809845","-6.142913","ES"
"14188","Abenden","50.671087","6.476458","DE"
"37403","Abenfigo","40.816368","-0.273450","ES"
"29682","Abenójar","38.879300","-4.355228","ES"
"10898","Abensberg","48.819453","11.846623","DE"
"10443","Abense-de-bas","43.250000","-0.883333","FR"
"24588","Aber","51.575363","-3.23089","GB"
"24589","Abercynon","51.64262","-3.329549","GB"
"24590","Aberdare","51.715019","-3.44313","GB"
"8144","Aberdeen","57.143127","-2.097464","GB"
"24591","Aberdour","56.054646","-3.300575","GB"
"7959","Aberdovey","52.543934","-4.057118","GB"
"24592","Abererch","52.898567","-4.37423","GB"
"7830","Abergavenny","51.81665","-3.009679","GB"
"7907","Abergele & Pensarn","53.294758","-3.581343","GB"
"8156","Aberystwyth","52.414017","-4.081946","GB"
"34382","Abfaltersbach/Drau Bahnhof","46.753511","12.511199","AT"
"63145","Abild","56.935","12.72472","SE"
"63147","Abisko Östra","68.34833","18.82917","SE"
"63146","Abisko turiststation","68.35667","18.78611","SE"
"10447","Abitain","43.416667","-0.983333","FR"
"29683","Abizanda","42.237535","0.185015","ES"
"27508","Abla","37.14245","-2.77808","ES"
"23643","Ablaña","43.267616","-5.806411","ES"
"37404","Ablaneda","43.26658","-6.55635","ES"
"37774","Ablanitsa","43.04085","24.718921","BG"
"10451","Ablon","48.725468","2.419151","FR"
"55","Aboncourt","49.266667","6.350000","FR"
"26566","Abraham Moss Metrolink","53.50995","-2.2367","GB"
"64459","Abrahamsberg T-bana","59.33667","17.95278","SE"
"8686","Abrantes","39.440351","-8.194683","PT"
"27509","Abrera","41.51682","1.901","ES"
"16807","Abrest – Les Dollots","46.072161","3.469953","FR"
"34283","Abrucena","37.13226","-2.79711","ES"
"33879","Abschlag Bahnhof","48.625214","14.846155","AT"
"23420","Absdorf-Hippersdorf","33.750801","-84.389855","AT"
"33490","Absdorf-Hippersdorf Bahnhof","48.401855","15.986174","AT"
"41065","Abtwil AG Auwerstrasse","47.174922","8.354637","CH"
"41066","Abtwil AG Hofmatt","47.176756","8.355797","CH"
"41067","Abtwil AG Langegg","47.183165","8.358278","CH"
"41068","Abtwil AG Post","47.174527","8.355303","CH"
"41069","Abtwil SG Ausserdorf","47.420391","9.314712","CH"
"41070","Abtwil SG Dorf","47.421523","9.31642","CH"
"41071","Abtwil SG Friedhof","47.422036","9.323","CH"
"41072","Abtwil SG Gemeindehaus","47.422045","9.319342","CH"
"41073","Abtwil SG Grund","47.423078","9.327675","CH"
"41074","Abtwil SG Hüslenweg","47.423797","9.32158","CH"
"41077","Abtwil SG Säntispark","47.417487","9.315018","CH"
"41075","Abtwil SG Sonnenhof","47.424121","9.325724","CH"
"41076","Abtwil SG St Josefen","47.423204","9.331396","CH"
"41078","Abtwil SG Wiesenbach/Cinedome","47.41622","9.312348","CH"
"41079","Abtwil SG Zentrumpark","47.422836","9.317778","CH"
"73664","Abwinkl (Schiff) Bad Wiessee","47.705807","11.740487","DE"
"71079","Abwinkl Bad Wiessee","47.704487","11.736478","DE"
"62259","Åby Bandyvägen Småland","57.02111","14.77778","SE"
"64383","Åby centrum Östergötland","58.66472","16.18111","SE"
"65883","Åbylund Linköping","58.41528","15.59944","SE"
"63097","Åbytorp skolan","59.12417","15.0825","SE"
"68695","Abzw Bahnhof Burgkunstadt","50.13765","11.24386","DE"
"73087","Abzw Bahnhof Frellstedt","52.21386","10.907907","DE"
"71909","Abzw Bahnhof Fritzlar","51.1255","9.28085","DE"
"69905","Abzw Bahnhof Haiger","50.74212","8.219206","DE"
"71067","Abzw Bahnhof Iffeldorf","47.78065","11.328377","DE"
"70878","Abzw Bahnhof Naila","50.3293","11.711434","DE"
"71103","Abzw Bahnhof Oberaudorf","47.65268","12.17286","DE"
"70955","Abzw Bahnhof Osterhofen","48.69453","13.020138","DE"
"70109","Abzw Bahnhof Roigheim","49.361717","9.343433","DE"
"70341","Abzw Bahnhof Stammbach","50.154057","11.706499","DE"
"70291","Abzw Bahnhof Strullendorf","49.846455","10.965788","DE"
"72828","Abzw Bahnhof Sünching","48.88351","12.357183","DE"
"69644","Abzw Bahnhof Tapfheim","48.677692","10.694152","DE"
"70338","Abzw Döhlau Weidenberg","49.959015","11.647341","DE"
"69514","Abzw Kampen Otterndorf","53.801624","8.88314","DE"
"71854","Abzw Wiesenfeld Burgwald","51.00599","8.753785","DE"
"72500","Abzw Wohnsiedlung Bernau bei Berlin","52.667744","13.558771","DE"
"19383","Acate","36.996652","14.42543","IT"
"34822","Acaya","40.333206","18.296871","IT"
"74776","Acchio-Fiumicello","39.73897","15.81088","IT"
"19253","Acciano","42.176344","13.71112","IT"
"29264","Acciaroli","40.185823","15.025802","IT"
"74","Accolay","47.666667","3.716667","FR"
"94","Accous","42.983333","-0.600000","FR"
"8118","Accrington","53.753193","-2.370016","GB"
"29685","Acebedo","43.039397","-5.116499","ES"
"29686","Acebo","40.20105","-6.71689","ES"
